Taxpayer Type,Tax Year,Transaction Date,Income Source,Deduction Type,State,Income,Deductions,Taxable Income,Tax Rate,Tax Owed
Individual,2021,2021-05-16,Royalties,Medical Expenses,FL,200643.71,56380.31,144263.4,0.16352982578483477,23591.37
Individual,2021,2021-01-15,Business Income,Charitable Contributions,OH,884999.48,246424.77,638574.71,0.3236779507047389,206692.55
Individual,2021,2021-08-11,Investment,Business Expenses,GA,978675.43,213704.68,764970.75,0.3187488802749051,243833.57
Partnership,2019,2019-08-16,Capital Gains,Mortgage Interest,OH,732054.22,76407.31,655646.9099999999,0.15927397005475818,104427.49
Partnership,2020,2020-12-01,Royalties,Mortgage Interest,OH,709062.36,20028.26,689034.1,0.11828892646418361,81505.1
Corporation,2023,2023-08-13,Business Income,Medical Expenses,TX,817461.22,92214.83,725246.39,0.18752911692383062,136004.82
Non-Profit,2021,2021-09-19,Salary,Medical Expenses,CA,26088.59,3668.18,22420.41,0.1763678989770766,3954.24
Trust,2020,2020-03-07,Investment,Medical Expenses,NC,684874.05,185862.98,499011.07000000007,0.22339692115013077,111477.54
Corporation,2019,2019-02-27,Investment,Mortgage Interest,NC,536664.44,17430.91,519233.52999999997,0.32756193060390904,170081.14
Non-Profit,2021,2021-02-06,Royalties,Business Expenses,GA,202856.59,17814.17,185042.41999999998,0.16293166192510275,30149.27
Corporation,2022,2022-05-02,Royalties,Education Expenses,MI,735539.73,97179.05,638360.6799999999,0.10495593308945403,66999.74
Non-Profit,2019,2019-04-19,Royalties,Medical Expenses,NC,427219.9,44558.16,382661.74,0.2463875493812375,94283.09
Partnership,2022,2022-08-25,Business Income,Business Expenses,NY,565628.63,39964.34,525664.29,0.3380332616186631,177692.01
Corporation,2019,2019-12-23,Capital Gains,Education Expenses,PA,53048.26,13483.35,39564.91,0.30683748914482134,12140.0
Corporation,2023,2023-08-27,Rental,Education Expenses,CA,919573.41,114417.34,805156.0700000001,0.20043898008295694,161384.66
Partnership,2023,2023-08-27,Royalties,Mortgage Interest,NY,631278.74,72320.09,558958.65,0.29331941121695226,163953.42
Individual,2019,2019-06-08,Salary,Mortgage Interest,IL,916010.98,41992.61,874018.37,0.15712819158363725,137332.93
Partnership,2021,2021-03-30,Royalties,Mortgage Interest,MI,47441.76,8262.51,39179.25,0.32267825626086594,12642.29
Non-Profit,2021,2021-06-02,Salary,Mortgage Interest,OH,540074.81,94649.01,445425.80000000005,0.32920082296470266,146634.54
Corporation,2023,2023-08-19,Salary,Education Expenses,NY,108683.95,21170.38,87513.56999999999,0.26383691325831904,23089.31
Corporation,2020,2020-01-07,Royalties,Education Expenses,IL,944464.06,11309.4,933154.66,0.2321361282265819,216618.91
Trust,2021,2021-01-26,Capital Gains,Charitable Contributions,NY,763869.31,113557.89,650311.42,0.15289210115286012,99427.48
Trust,2019,2019-10-06,Business Income,Business Expenses,FL,115942.25,2863.11,113079.14,0.20641478825555154,23341.21
Corporation,2022,2022-09-20,Salary,Charitable Contributions,NY,886504.04,10445.63,876058.41,0.299066800224276,261999.99
Non-Profit,2023,2023-04-08,Salary,Medical Expenses,CA,477390.97,44784.59,432606.38,0.36153022388291833,156400.28
Trust,2019,2019-09-07,Salary,Charitable Contributions,CA,547212.93,90663.6,456549.3300000001,0.36335410278247715,165889.07
Non-Profit,2021,2021-01-28,Rental,Medical Expenses,CA,211776.09,37503.14,174272.95,0.15806046902195897,27545.66
Trust,2021,2021-08-10,Salary,Charitable Contributions,IL,42450.08,12067.58,30382.5,0.21682722992931397,6587.75
Partnership,2022,2022-09-07,Salary,Business Expenses,IL,237754.13,27473.96,210280.17,0.26740127148326664,56229.18
Non-Profit,2020,2020-12-02,Business Income,Education Expenses,TX,150217.97,8051.74,142166.23,0.29009030036503736,41241.04
Corporation,2020,2020-01-06,Royalties,Medical Expenses,CA,493825.02,131381.57,362443.45,0.18496886518478317,67040.75
Trust,2023,2023-09-26,Investment,Charitable Contributions,PA,679201.91,102848.31,576353.6000000001,0.36574158250588207,210796.48
Trust,2023,2023-10-10,Rental,Business Expenses,GA,413478.68,31995.22,381483.45999999996,0.22742311451933797,86758.16
Trust,2019,2019-10-29,Royalties,Medical Expenses,FL,200548.78,31103.87,169444.91,0.19316705906600568,32731.17
Individual,2023,2023-05-08,Royalties,Charitable Contributions,CA,756746.23,177967.54,578778.69,0.32510405455212144,188163.3
Trust,2020,2020-06-06,Royalties,Charitable Contributions,TX,942364.51,192762.41,749602.1,0.2202847397921227,165125.9
Trust,2023,2023-01-01,Salary,Education Expenses,OH,315990.43,45225.57,270764.86,0.2649034370446607,71726.54
Non-Profit,2023,2023-04-12,Royalties,Education Expenses,MI,189099.2,27712.33,161386.87,0.36483059825957476,58878.87
Corporation,2019,2019-07-04,Business Income,Education Expenses,GA,206026.94,54086.52,151940.42,0.14545146719501964,22099.96
Trust,2019,2019-05-31,Investment,Charitable Contributions,GA,162499.94,25657.01,136842.93,0.26142631978641095,35774.34
Trust,2020,2020-07-13,Capital Gains,Medical Expenses,NY,549835.44,102954.2,446881.23999999993,0.2807668578181453,125469.44
Trust,2019,2019-01-11,Royalties,Medical Expenses,OH,477364.93,143109.37,334255.56,0.12983611282637722,43398.44
Corporation,2023,2023-03-28,Investment,Business Expenses,MI,789598.14,143538.22,646059.92,0.3424693473528647,221255.72
Partnership,2021,2021-07-22,Capital Gains,Education Expenses,FL,138351.48,33952.25,104399.23000000001,0.17303327184579115,18064.54
Partnership,2021,2021-06-26,Rental,Business Expenses,MI,187733.93,9188.21,178545.72,0.21200396478647066,37852.4
Trust,2019,2019-06-13,Investment,Business Expenses,NY,120774.36,6289.02,114485.34,0.3464764544700495,39666.47
Partnership,2021,2021-06-06,Investment,Charitable Contributions,OH,187664.9,19333.55,168331.35,0.357353594812419,60153.81
Individual,2020,2020-04-22,Royalties,Charitable Contributions,NY,948178.78,279758.02,668420.76,0.1670382962551625,111651.86
Non-Profit,2021,2021-05-13,Rental,Education Expenses,TX,710288.33,188462.57,521825.75999999995,0.21652923903751162,112990.53
Partnership,2022,2022-08-16,Capital Gains,Business Expenses,NC,840378.95,36689.1,803689.85,0.20118884180301308,161693.43
Partnership,2021,2021-08-31,Salary,Medical Expenses,OH,611980.54,45964.99,566015.55,0.3118719319662907,176524.36
Corporation,2023,2023-01-27,Investment,Education Expenses,NC,435072.48,71726.35,363346.13,0.32562780127801005,118315.6
Partnership,2019,2019-03-31,Rental,Charitable Contributions,OH,978175.99,82798.25,895377.74,0.3321221962916093,297374.82
Trust,2021,2021-05-26,Salary,Education Expenses,MI,904177.3,106005.7,798171.6000000001,0.20631660450461103,164676.05
Trust,2021,2021-12-13,Salary,Business Expenses,GA,397507.79,24481.73,373026.06,0.2667740662432546,99513.68
Partnership,2020,2020-07-04,Investment,Mortgage Interest,OH,567755.82,50327.72,517428.1,0.34017618089818674,176016.71
Non-Profit,2023,2023-01-30,Capital Gains,Charitable Contributions,MI,240000.1,42307.67,197692.43,0.2107595984362945,41665.58
Non-Profit,2023,2023-09-18,Capital Gains,Education Expenses,PA,605581.62,67603.43,537978.19,0.35026380168974947,188434.29
Trust,2022,2022-09-28,Investment,Business Expenses,FL,834631.67,139517.85,695113.8200000001,0.36448491127250804,253358.5
Corporation,2022,2022-07-07,Royalties,Medical Expenses,GA,340492.5,8586.45,331906.05,0.12830074132303934,42583.79
Individual,2022,2022-12-22,Business Income,Medical Expenses,IL,349399.73,24758.86,324640.87,0.2037598789485136,66148.78
Partnership,2020,2020-08-11,Salary,Charitable Contributions,OH,298000.06,32247.16,265752.9,0.32628492817162313,86711.17
Non-Profit,2023,2023-11-26,Capital Gains,Charitable Contributions,OH,486671.5,77225.8,409445.7,0.11256429679771508,46088.97
Trust,2023,2023-09-20,Royalties,Medical Expenses,OH,955759.63,109706.01,846053.62,0.1929184768590007,163219.38
Individual,2022,2022-04-30,Rental,Mortgage Interest,FL,355345.49,46290.2,309055.29,0.16744588616496758,51750.04
Partnership,2019,2019-12-03,Capital Gains,Education Expenses,NC,383556.26,90991.06,292565.2,0.12503407814599812,36580.62
Individual,2019,2019-06-15,Salary,Charitable Contributions,TX,35889.96,6094.29,29795.67,0.15584207542704867,4643.42
Corporation,2023,2023-09-16,Royalties,Mortgage Interest,FL,337984.53,100720.56,237263.97000000003,0.2904833317732484,68921.23
Non-Profit,2020,2020-02-20,Investment,Charitable Contributions,FL,229076.53,33663.55,195412.97999999998,0.12085204201620693,23616.06
Corporation,2019,2019-04-04,Investment,Mortgage Interest,PA,891255.23,155644.77,735610.46,0.3160775688249801,232509.97
Individual,2022,2022-11-28,Royalties,Business Expenses,IL,476158.9,20302.77,455856.13,0.16496149504600452,75198.71
Non-Profit,2020,2020-10-29,Capital Gains,Business Expenses,CA,834219.76,130610.72,703609.04,0.20273100838107433,142643.37
Individual,2023,2023-03-29,Investment,Education Expenses,MI,575975.13,56670.38,519304.75,0.3121594862223192,162105.9
Partnership,2023,2023-08-18,Royalties,Charitable Contributions,NY,170586.92,2911.7,167675.22,0.12137540071461168,20351.65
Trust,2020,2020-07-26,Rental,Mortgage Interest,MI,186831.2,13688.09,173143.11000000002,0.23693501793871183,41023.67
Corporation,2023,2023-05-17,Business Income,Charitable Contributions,OH,367173.82,66387.62,300786.2,0.22518933649672015,67733.84
Trust,2019,2019-10-20,Rental,Charitable Contributions,IL,148130.55,10017.48,138113.06999999998,0.1588138023723054,21934.26
Partnership,2022,2022-04-27,Business Income,Education Expenses,NY,743574.37,153491.74,590082.63,0.258570154537752,152577.76
Partnership,2022,2022-01-25,Investment,Medical Expenses,TX,591087.74,155689.23,435398.51,0.1121812828612214,48843.56
Individual,2020,2020-11-11,Business Income,Charitable Contributions,OH,587655.45,56450.2,531205.25,0.33991219571773956,180563.14
Corporation,2019,2019-12-27,Rental,Education Expenses,FL,638427.31,133653.46,504773.8500000001,0.13056962009797424,65908.13
Individual,2023,2023-10-09,Rental,Education Expenses,PA,797505.43,28345.8,769159.63,0.26082857971307405,200618.81
Individual,2019,2019-02-16,Rental,Education Expenses,FL,51581.6,14308.0,37273.6,0.25415681333323825,9473.34
Corporation,2020,2020-11-06,Rental,Business Expenses,CA,40416.56,8579.71,31836.85,0.2633260889393634,8383.47
Corporation,2022,2022-10-29,Rental,Charitable Contributions,GA,763819.23,61261.65,702557.58,0.20634077459246924,144966.28
Non-Profit,2022,2022-05-14,Business Income,Education Expenses,OH,279128.17,21613.14,257515.02999999997,0.10518752461381543,27087.37
Individual,2023,2023-07-29,Capital Gains,Education Expenses,IL,846121.6,126394.76,719726.84,0.28170997336641573,202754.23
Non-Profit,2021,2021-01-05,Business Income,Medical Expenses,PA,321233.16,79939.44,241293.71999999997,0.28780281117062173,69445.01
Non-Profit,2023,2023-07-29,Salary,Medical Expenses,MI,529190.62,94999.61,434191.01,0.1412742471705854,61340.01
Individual,2022,2022-09-19,Business Income,Education Expenses,MI,287834.64,40714.67,247119.97000000003,0.35026018106368173,86556.29
Corporation,2020,2020-04-28,Royalties,Mortgage Interest,MI,249977.57,51599.44,198378.13,0.11618828582745605,23049.21
Partnership,2023,2023-10-24,Royalties,Medical Expenses,NC,543861.63,149002.61,394859.02,0.3142248980991908,124074.54
Corporation,2021,2021-04-14,Salary,Mortgage Interest,NC,523144.36,66421.99,456722.37,0.34597025245275836,158012.35
Corporation,2021,2021-07-16,Investment,Charitable Contributions,FL,370937.57,76494.07,294443.5,0.30793961664662794,90670.82
Corporation,2023,2023-06-02,Salary,Business Expenses,NY,438484.11,59701.34,378782.77,0.12188305202358475,46167.2
Individual,2019,2019-04-09,Salary,Medical Expenses,FL,221924.36,19488.55,202435.81,0.1362411379713464,27580.09
Partnership,2020,2020-04-30,Royalties,Mortgage Interest,CA,91131.23,25219.6,65911.63,0.18498196004051964,12192.46
Non-Profit,2021,2021-01-26,Rental,Medical Expenses,TX,437915.39,56112.06,381803.33,0.2859484857272965,109176.08
Partnership,2019,2019-01-04,Investment,Business Expenses,FL,351769.51,10546.33,341223.18,0.10694535366630252,36492.23
Partnership,2020,2020-09-26,Royalties,Medical Expenses,TX,313315.28,66347.62,246967.66000000003,0.33824241176818687,83534.94
Corporation,2020,2020-12-13,Investment,Education Expenses,PA,561628.28,19190.15,542438.13,0.2547657641049351,138194.66
Corporation,2023,2023-02-04,Capital Gains,Medical Expenses,PA,181822.08,27450.86,154371.21999999997,0.35278833112122965,54460.37
Corporation,2021,2021-08-11,Capital Gains,Medical Expenses,FL,201491.86,2269.33,199222.53,0.22182365807045934,44192.27
Partnership,2021,2021-01-14,Royalties,Charitable Contributions,PA,494403.26,117407.35,376995.91000000003,0.10836463369225433,40853.02
Trust,2019,2019-06-09,Business Income,Medical Expenses,NC,875899.67,67857.12,808042.55,0.1961682328759662,158512.28
Corporation,2022,2022-09-15,Business Income,Business Expenses,GA,569150.98,91789.78,477361.19999999995,0.23274554320818808,111103.69
Partnership,2020,2020-10-12,Salary,Charitable Contributions,OH,181777.55,12059.44,169718.11,0.2185491048917645,37091.74
Corporation,2022,2022-06-15,Business Income,Medical Expenses,IL,365122.47,20013.04,345109.43,0.366332613423629,126424.84
Non-Profit,2023,2023-05-16,Royalties,Education Expenses,MI,622556.86,112314.69,510242.17,0.3305380686439493,168654.46
Partnership,2022,2022-03-29,Rental,Mortgage Interest,TX,816920.39,29374.97,787545.42,0.33957218834923175,267428.52
Individual,2023,2023-01-25,Royalties,Charitable Contributions,PA,448996.94,26351.19,422645.75,0.26335269363012515,111304.9
Corporation,2020,2020-01-02,Business Income,Charitable Contributions,IL,563952.82,148130.42,415822.3999999999,0.22453175083506743,93365.33
Non-Profit,2020,2020-01-02,Business Income,Mortgage Interest,IL,161395.14,15476.56,145918.58000000002,0.13463899126487702,19646.33
Trust,2023,2023-05-14,Rental,Mortgage Interest,PA,748950.31,141204.84,607745.4700000001,0.1610940968804341,97904.21
Individual,2022,2022-11-27,Capital Gains,Medical Expenses,TX,272785.4,52714.76,220070.64,0.19850550504288061,43685.23
Partnership,2023,2023-12-04,Salary,Mortgage Interest,FL,295504.56,78121.69,217382.87,0.31573399509663297,68635.16
Partnership,2021,2021-05-13,Royalties,Business Expenses,FL,676996.22,124479.34,552516.88,0.2610866039873065,144254.76
Corporation,2023,2023-09-14,Rental,Business Expenses,NC,950817.91,125974.29,824843.62,0.1991874845545421,164298.53
Non-Profit,2019,2019-04-16,Capital Gains,Medical Expenses,FL,305191.04,14392.29,290798.75,0.3448768092216173,100289.75
Partnership,2020,2020-12-01,Capital Gains,Business Expenses,NC,380528.88,8528.25,372000.63,0.16780754606525997,62424.51
Non-Profit,2019,2019-10-25,Capital Gains,Charitable Contributions,OH,774585.04,48837.39,725747.65,0.3619102292715214,262655.5
Individual,2019,2019-10-16,Business Income,Mortgage Interest,PA,137779.67,40461.3,97318.37000000001,0.11476613107089571,11168.85
Partnership,2021,2021-02-14,Salary,Education Expenses,PA,881844.18,164608.17,717236.01,0.30515970079789456,218871.53
Trust,2022,2022-08-04,Royalties,Business Expenses,NC,102760.16,8296.13,94464.03,0.2469487111112755,23327.77
Partnership,2020,2020-01-06,Salary,Medical Expenses,NY,236028.91,13213.41,222815.5,0.170009847567249,37880.83
Corporation,2019,2019-01-01,Investment,Charitable Contributions,NC,380287.81,82140.03,298147.78,0.28353915871178936,84536.57
Partnership,2019,2019-06-14,Business Income,Education Expenses,OH,258942.61,70365.55,188577.06,0.22013544360001458,41512.49
Corporation,2023,2023-11-25,Salary,Business Expenses,CA,421078.04,58530.36,362547.68,0.3204361713294126,116173.39
Individual,2022,2022-09-17,Capital Gains,Charitable Contributions,GA,390657.93,69987.27,320670.66,0.34819478060204484,111655.85
Trust,2019,2019-10-17,Investment,Mortgage Interest,OH,151345.48,25300.39,126045.09000000001,0.24297318267778034,30625.58
Non-Profit,2023,2023-05-14,Royalties,Business Expenses,IL,240282.34,63130.84,177151.5,0.32118201224170395,56897.88
Non-Profit,2019,2019-03-04,Capital Gains,Business Expenses,GA,835984.49,206991.36,628993.13,0.1340357957349689,84307.59
Individual,2019,2019-10-25,Capital Gains,Medical Expenses,FL,314896.12,11948.88,302947.24,0.23594296035276716,71478.27
Trust,2021,2021-04-24,Rental,Business Expenses,OH,253617.64,65247.75,188369.89,0.30940437851482105,58282.47
Partnership,2022,2022-08-17,Rental,Medical Expenses,MI,863996.57,235744.6,628251.97,0.1301487096221267,81766.18
Individual,2023,2023-06-30,Royalties,Medical Expenses,NC,455081.71,80821.46,374260.25,0.36363842600789853,136095.41
Individual,2020,2020-03-17,Salary,Education Expenses,IL,657758.16,40573.91,617184.25,0.1705032665046448,105231.93
Trust,2020,2020-07-03,Salary,Medical Expenses,NC,131927.52,7681.78,124245.73999999999,0.2542310796470993,31587.13
Trust,2021,2021-09-22,Salary,Mortgage Interest,MI,683236.51,33571.22,649665.29,0.23860481897169497,155013.27
Partnership,2020,2020-07-29,Royalties,Medical Expenses,NY,42193.0,2224.98,39968.02,0.23223918372953653,9282.14
Non-Profit,2023,2023-05-16,Investment,Business Expenses,TX,922043.12,28701.14,893341.98,0.25260476154389044,225662.44
Individual,2022,2022-08-28,Salary,Mortgage Interest,CA,440665.8,53256.79,387409.01,0.27942948080112573,108253.5
Non-Profit,2021,2021-12-24,Business Income,Charitable Contributions,MI,279522.86,30386.86,249136.0,0.19824229945245864,49389.29
Individual,2022,2022-10-14,Royalties,Mortgage Interest,GA,145158.72,4987.69,140171.03,0.1325454814663823,18579.04
Individual,2023,2023-05-29,Rental,Education Expenses,TX,669714.57,199315.77,470398.79999999993,0.17114449654531522,80506.17
Partnership,2022,2022-01-08,Rental,Charitable Contributions,FL,754039.0,147124.47,606914.53,0.14131366622155916,85765.32
Corporation,2021,2021-10-19,Royalties,Mortgage Interest,FL,918447.56,264831.74,653615.8200000001,0.2762917578751979,180588.66
Individual,2020,2020-11-17,Business Income,Mortgage Interest,PA,526154.96,106053.43,420101.52999999997,0.26170306675610044,109941.86
Trust,2022,2022-02-14,Royalties,Mortgage Interest,PA,195260.16,17136.63,178123.53,0.2547210728202328,45371.82
Non-Profit,2020,2020-09-30,Capital Gains,Medical Expenses,NC,875398.91,206451.33,668947.5800000001,0.15248249203093883,102002.79
Corporation,2021,2021-09-28,Capital Gains,Education Expenses,CA,117668.29,11275.98,106392.31,0.21496051692960055,22870.15
Individual,2019,2019-05-21,Business Income,Charitable Contributions,NC,987173.88,162510.61,824663.27,0.3236231875675108,266880.16
Partnership,2023,2023-04-10,Royalties,Charitable Contributions,NC,40970.33,7336.4,33633.93,0.21843808220142596,7346.93
Individual,2020,2020-10-22,Royalties,Education Expenses,PA,424118.54,120871.82,303246.72,0.22895744282867247,69430.59
Corporation,2020,2020-01-13,Investment,Mortgage Interest,PA,410958.08,119319.83,291638.25,0.3525287437178102,102810.87
Individual,2023,2023-08-02,Rental,Charitable Contributions,GA,657566.22,62948.2,594618.02,0.32044989513410116,190545.28
Trust,2021,2021-06-11,Rental,Medical Expenses,OH,126982.08,18612.23,108369.85,0.11159539410537929,12093.58
Partnership,2020,2020-08-22,Business Income,Medical Expenses,PA,66354.39,4019.66,62334.729999999996,0.22924928891297333,14290.19
Individual,2022,2022-09-28,Investment,Charitable Contributions,MI,769642.5,19911.38,749731.12,0.28526162648491526,213869.52
Non-Profit,2023,2023-11-23,Business Income,Business Expenses,TX,414711.0,32085.23,382625.77,0.17044618259535022,65217.1
Corporation,2021,2021-02-28,Capital Gains,Business Expenses,MI,699178.27,102096.31,597081.96,0.18187900800558354,108596.67
Non-Profit,2020,2020-04-29,Investment,Charitable Contributions,MI,303601.85,17480.69,286121.16,0.10263966787624237,29367.38
Trust,2022,2022-12-08,Capital Gains,Medical Expenses,PA,125560.97,16960.17,108600.8,0.2584991607942882,28073.22
Individual,2020,2020-04-22,Business Income,Mortgage Interest,TX,832787.9,88497.38,744290.52,0.16990253182877574,126456.84
Corporation,2019,2019-01-05,Rental,Business Expenses,CA,629959.39,14953.49,615005.9,0.10468496694705633,64381.87
Individual,2022,2022-10-01,Investment,Business Expenses,OH,371751.9,46329.99,325421.91000000003,0.2975573488206851,96831.68
Partnership,2023,2023-07-29,Business Income,Mortgage Interest,MI,364496.06,43141.15,321354.91,0.34155872453748876,109761.57
Partnership,2021,2021-08-03,Capital Gains,Mortgage Interest,NY,220623.51,44394.04,176229.47,0.3589927753789144,63265.11
Trust,2020,2020-07-31,Capital Gains,Business Expenses,OH,985758.19,119876.41,865881.7799999999,0.14905561942506682,129064.55
Trust,2019,2019-04-18,Salary,Education Expenses,TX,584762.39,110232.15,474530.24,0.12016199411792067,57020.5
Individual,2020,2020-02-18,Rental,Mortgage Interest,CA,174678.56,38130.48,136548.08,0.33816150334960593,46175.3
Non-Profit,2020,2020-05-25,Salary,Charitable Contributions,FL,861997.56,139279.72,722717.8400000001,0.10197738969290587,73700.88
Trust,2020,2020-05-20,Royalties,Business Expenses,NY,971326.48,201326.29,770000.19,0.2629820309924076,202496.21
Partnership,2019,2019-05-12,Royalties,Medical Expenses,FL,716871.0,199668.74,517202.26,0.2768810134406763,143203.49
Partnership,2022,2022-09-08,Investment,Education Expenses,IL,139569.27,41226.51,98342.75999999998,0.14040848020392277,13808.16
Individual,2023,2023-01-22,Royalties,Business Expenses,GA,764172.35,88020.4,676151.95,0.19160317344568806,129552.86
Trust,2021,2021-10-18,Royalties,Medical Expenses,TX,500089.02,21987.56,478101.46,0.21486299509450402,102726.31
Individual,2021,2021-10-20,Investment,Medical Expenses,NY,548000.53,36730.71,511269.82,0.29107455835737267,148817.64
Partnership,2023,2023-06-04,Business Income,Charitable Contributions,PA,466236.7,134764.78,331471.92000000004,0.27052653680525396,89671.95
Partnership,2022,2022-03-27,Business Income,Education Expenses,OH,590181.33,54527.33,535654.0,0.292767151508425,156821.9
Corporation,2019,2019-10-08,Capital Gains,Charitable Contributions,NY,681403.02,195753.69,485649.33,0.20096940943037062,97600.66
Non-Profit,2022,2022-11-20,Salary,Medical Expenses,CA,576738.97,92415.57,484323.39999999997,0.238631009263754,115574.58
Non-Profit,2019,2019-07-12,Rental,Education Expenses,NY,520975.05,108287.07,412687.98,0.13387584041530567,55248.95
Individual,2021,2021-04-16,Capital Gains,Charitable Contributions,TX,314319.37,44037.63,270281.74,0.3074987711810758,83111.3
Trust,2022,2022-04-08,Royalties,Medical Expenses,OH,918131.36,127728.77,790402.59,0.3050479837330031,241110.72
Corporation,2023,2023-01-26,Capital Gains,Medical Expenses,FL,90366.34,10243.99,80122.34999999999,0.2047566878212781,16405.59
Partnership,2022,2022-06-21,Royalties,Education Expenses,NC,167869.53,7042.4,160827.13,0.2097902844473764,33739.97
Corporation,2019,2019-11-08,Capital Gains,Education Expenses,NY,840886.33,58827.28,782059.0499999999,0.1705936872524738,133414.34
Corporation,2023,2023-08-06,Capital Gains,Education Expenses,CA,992027.92,126632.6,865395.3200000001,0.26023590478345193,225206.93
Non-Profit,2021,2021-11-16,Rental,Business Expenses,GA,190972.39,9033.52,181938.87000000002,0.33661949934418045,61244.17
Trust,2023,2023-07-13,Investment,Medical Expenses,NY,338051.12,23802.79,314248.33,0.2955072629920048,92862.66
Partnership,2021,2021-02-24,Rental,Education Expenses,GA,955830.12,54528.67,901301.45,0.18339485260475819,165294.05
Corporation,2020,2020-08-18,Investment,Business Expenses,GA,870016.48,151877.32,718139.1599999999,0.1617926384845529,116189.63
Partnership,2023,2023-03-26,Capital Gains,Charitable Contributions,OH,439758.96,110938.67,328820.29000000004,0.16180306151094023,53204.13
Non-Profit,2022,2022-08-17,Rental,Charitable Contributions,PA,99737.13,19788.34,79948.79000000001,0.1535166074394887,12273.47
Corporation,2023,2023-03-26,Salary,Education Expenses,IL,697382.98,50018.22,647364.76,0.2741507967814767,177475.56
Non-Profit,2022,2022-06-04,Capital Gains,Charitable Contributions,IL,793369.42,40163.85,753205.5700000001,0.10326603429270959,77780.55
Non-Profit,2021,2021-05-19,Rental,Business Expenses,PA,661742.56,49135.97,612606.5900000001,0.22932224020718092,140484.32
Trust,2019,2019-08-16,Royalties,Mortgage Interest,TX,583033.77,63827.71,519206.06,0.1018655855314949,52889.23
Individual,2021,2021-07-01,Investment,Mortgage Interest,IL,516067.04,31757.05,484309.99,0.18295099454614833,88604.99
Partnership,2022,2022-07-14,Rental,Charitable Contributions,GA,199516.46,39537.42,159979.03999999998,0.19735243537931102,31572.25
Partnership,2020,2020-05-20,Rental,Business Expenses,IL,374303.29,51239.66,323063.63,0.11629217688090794,37569.77
Individual,2022,2022-03-16,Rental,Education Expenses,IL,63659.19,12890.24,50768.950000000004,0.1586628278028291,8055.15
Corporation,2023,2023-10-27,Rental,Education Expenses,FL,394034.24,104214.69,289819.55,0.28395945488759666,82297.0
Corporation,2022,2022-04-17,Investment,Medical Expenses,OH,464454.5,83920.71,380533.79,0.18033765984903527,68624.57
Partnership,2019,2019-07-13,Business Income,Medical Expenses,NY,454460.56,20552.83,433907.73,0.357018644958063,154913.15
Partnership,2021,2021-05-13,Salary,Mortgage Interest,MI,707244.87,167109.81,540135.06,0.2458944343029029,132816.21
Corporation,2021,2021-12-23,Salary,Charitable Contributions,OH,451707.08,77090.9,374616.18000000005,0.3254218278946682,121908.28
Individual,2021,2021-04-29,Investment,Mortgage Interest,MI,537050.65,30792.9,506257.75,0.27890861207292783,141199.65
Corporation,2020,2020-01-04,Salary,Charitable Contributions,IL,344082.79,20254.94,323827.85,0.1104978419269339,35782.28
Non-Profit,2019,2019-04-16,Royalties,Mortgage Interest,MI,609477.45,133702.18,475775.26999999996,0.3654268189737029,173861.04
Corporation,2020,2020-11-11,Investment,Medical Expenses,OH,697941.08,103209.97,594731.11,0.36427240830727703,216644.13
Trust,2023,2023-03-18,Rental,Medical Expenses,TX,265115.45,19890.46,245224.99000000002,0.3338238971827341,81861.96
Corporation,2019,2019-12-16,Salary,Mortgage Interest,PA,240218.36,45956.97,194261.38999999998,0.2501158590712893,48587.85
Non-Profit,2020,2020-09-29,Rental,Medical Expenses,NY,267199.83,67147.49,200052.34000000003,0.3639860771968223,72816.27
Partnership,2020,2020-10-13,Capital Gains,Charitable Contributions,GA,304046.32,74418.12,229628.2,0.20491030890376571,47053.19
Individual,2021,2021-02-22,Business Income,Charitable Contributions,MI,219211.7,54200.65,165011.05000000002,0.2269311145123654,37446.14
Corporation,2019,2019-11-12,Investment,Charitable Contributions,NY,675687.86,186078.09,489609.77,0.19958105461181852,97716.83
Corporation,2019,2019-04-15,Business Income,Mortgage Interest,NC,535682.64,74777.37,460905.27,0.23803832987763723,109713.12
Partnership,2022,2022-10-03,Capital Gains,Mortgage Interest,OH,696262.29,198660.74,497601.55000000005,0.2191391540564392,109043.98
Non-Profit,2019,2019-08-22,Rental,Medical Expenses,MI,982224.32,16667.43,965556.8899999999,0.3616311842778662,349175.48
Trust,2021,2021-12-11,Royalties,Business Expenses,OH,223038.13,33862.05,189176.08000000002,0.16813688927426534,31807.48
Corporation,2021,2021-03-17,Salary,Medical Expenses,GA,33532.61,8991.32,24541.29,0.13874254418205734,3404.92
Corporation,2020,2020-01-07,Investment,Medical Expenses,FL,541227.84,92382.59,448845.25,0.2953439137494286,132563.71
Individual,2022,2022-04-05,Salary,Education Expenses,TX,642577.94,120817.33,521760.6099999999,0.3683858244292182,192209.21
Non-Profit,2020,2020-09-10,Business Income,Education Expenses,OH,474702.44,1371.82,473330.62,0.11993093687260206,56766.98
Non-Profit,2023,2023-07-22,Business Income,Education Expenses,OH,172430.26,32519.44,139910.82,0.261034301610388,36521.52
Corporation,2020,2020-08-31,Business Income,Mortgage Interest,NY,824803.93,242295.0,582508.93,0.2362130520294595,137596.21
Individual,2019,2019-11-08,Capital Gains,Medical Expenses,GA,711387.08,165073.94,546313.1399999999,0.35590004968470434,194432.87
